Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered,Precautionary Dose Administered
22/01/2021,Tripura,14252,0,14252,
22/01/2021,Uttar Pradesh,123761,0,123761,
22/01/2021,Uttarakhand,10514,0,10514,
22/01/2021,West Bengal,84505,0,84505,
22/01/2021,Miscellaneous,36926,0,36926,
22/01/2021,Total,1390592,0,1390592,
23/01/2021,Andaman and Nicobar Islands,1998,0,1998,
23/01/2021,Andhra Pradesh,147030,0,147030,
23/01/2021,Arunachal Pradesh,6511,0,6511,
23/01/2021,Assam,13881,0,13881,
23/01/2021,Bihar,76125,0,76125,
23/01/2021,Chandigarh,1502,0,1502,
23/01/2021,Chhattisgarh,28732,0,28732,
23/01/2021,Dadra and Nagar Haveli and Daman and Diu,628,0,628,
23/01/2021,Delhi,25811,0,25811,
23/01/2021,Goa,1561,0,1561,
23/01/2021,Gujarat,78466,0,78466,
23/01/2021,Haryana,71297,0,71297,
23/01/2021,Himachal Pradesh,13544,0,13544,
23/01/2021,Jammu and Kashmir,11647,0,11647,
23/01/2021,Jharkhand,14806,0,14806,
23/01/2021,Karnataka,188971,0,188971,
23/01/2021,Kerala,53529,0,53529,
23/01/2021,Ladakh,558,0,558,
23/01/2021,Lakshadweep,633,0,633,
23/01/2021,Madhya Pradesh,38278,0,38278,
23/01/2021,Maharashtra,99885,0,99885,
23/01/2021,Manipur,2319,0,2319,
23/01/2021,Meghalaya,2236,0,2236,
23/01/2021,Mizoram,3979,0,3979,
23/01/2021,Nagaland,3443,0,3443,
23/01/2021,Odisha,152371,0,152371,
23/01/2021,Puducherry,1478,0,1478,
23/01/2021,Punjab,30319,0,30319,
23/01/2021,Rajasthan,67270,0,67270,
23/01/2021,Sikkim,960,0,960,
23/01/2021,Tamil Nadu,59226,0,59226,
23/01/2021,Telangana,110031,0,110031,
23/01/2021,Tripura,14252,0,14252,
23/01/2021,Uttar Pradesh,123761,0,123761,
23/01/2021,Uttarakhand,10514,0,10514,
23/01/2021,West Bengal,84505,0,84505,
23/01/2021,Miscellaneous,40144,0,40144,
23/01/2021,Total,1582201,0,1582201,
24/01/2021,Andaman and Nicobar Islands,2019,0,2019,
24/01/2021,Andhra Pradesh,147030,0,147030,
24/01/2021,Arunachal Pradesh,6511,0,6511,
24/01/2021,Assam,13881,0,13881,
24/01/2021,Bihar,76125,0,76125,
24/01/2021,Chandigarh,1502,0,1502,
24/01/2021,Chhattisgarh,28732,0,28732,
24/01/2021,Dadra and Nagar Haveli and Daman and Diu,628,0,628,
24/01/2021,Delhi,25811,0,25811,
24/01/2021,Goa,1561,0,1561,
24/01/2021,Gujarat,78466,0,78466,
24/01/2021,Haryana,72204,0,72204,
24/01/2021,Himachal Pradesh,13544,0,13544,
24/01/2021,Jammu and Kashmir,11647,0,11647,
24/01/2021,Jharkhand,14806,0,14806,
24/01/2021,Karnataka,191449,0,191449,
24/01/2021,Kerala,53529,0,53529,
24/01/2021,Ladakh,558,0,558,
24/01/2021,Lakshadweep,633,0,633,
24/01/2021,Madhya Pradesh,38278,0,38278,
24/01/2021,Maharashtra,99885,0,99885,
24/01/2021,Manipur,2319,0,2319,
24/01/2021,Meghalaya,2236,0,2236,
24/01/2021,Mizoram,3979,0,3979,
24/01/2021,Nagaland,3443,0,3443,
24/01/2021,Odisha,152371,0,152371,
24/01/2021,Puducherry,1478,0,1478,
24/01/2021,Punjab,31327,0,31327,
24/01/2021,Rajasthan,93525,0,93525,
24/01/2021,Sikkim,960,0,960,
24/01/2021,Tamil Nadu,61720,0,61720,
24/01/2021,Telangana,110031,0,110031,
24/01/2021,Tripura,14252,0,14252,
24/01/2021,Uttar Pradesh,123761,0,123761,
24/01/2021,Uttarakhand,10514,0,10514,
24/01/2021,West Bengal,84505,0,84505,
24/01/2021,Miscellaneous,40284,0,40284,
24/01/2021,Total,1615504,0,1615504,
25/01/2021,Andaman and Nicobar Islands,2369,0,2369,
25/01/2021,Andhra Pradesh,156120,0,156120,
25/01/2021,Arunachal Pradesh,7307,0,7307,
25/01/2021,Assam,19837,0,19837,
25/01/2021,Bihar,88450,0,88450,
25/01/2021,Chandigarh,1928,0,1928,
25/01/2021,Chhattisgarh,40025,0,40025,
25/01/2021,Dadra and Nagar Haveli and Daman and Diu,665,0,665,
25/01/2021,Delhi,33219,0,33219,
25/01/2021,Goa,1796,0,1796,
25/01/2021,Gujarat,91927,0,91927,
25/01/2021,Haryana,105419,0,105419,
25/01/2021,Himachal Pradesh,13544,0,13544,
25/01/2021,Jammu and Kashmir,16173,0,16173,
25/01/2021,Jharkhand,18413,0,18413,
25/01/2021,Karnataka,231172,0,231172,
25/01/2021,Kerala,71973,0,71973,
25/01/2021,Ladakh,670,0,670,
25/01/2021,Lakshadweep,676,0,676,
25/01/2021,Madhya Pradesh,67083,0,67083,
25/01/2021,Maharashtra,136901,0,136901,
25/01/2021,Manipur,2485,0,2485,
25/01/2021,Meghalaya,2748,0,2748,
25/01/2021,Mizoram,4852,0,4852,
25/01/2021,Nagaland,3675,0,3675,
25/01/2021,Odisha,177090,0,177090,
25/01/2021,Puducherry,1813,0,1813,
25/01/2021,Punjab,39418,0,39418,
25/01/2021,Rajasthan,161116,0,161116,
25/01/2021,Sikkim,1047,0,1047,
25/01/2021,Tamil Nadu,69027,0,69027,
25/01/2021,Telangana,130390,0,130390,
25/01/2021,Tripura,19698,0,19698,
25/01/2021,Uttar Pradesh,123761,0,123761,
25/01/2021,Uttarakhand,14546,0,14546,
25/01/2021,West Bengal,122851,0,122851,
25/01/2021,Miscellaneous,43625,0,43625,
25/01/2021,Total,2023809,0,2023809,
26/01/2021,Andaman and Nicobar Islands,2369,0,2369,
26/01/2021,Andhra Pradesh,156129,0,156129,
26/01/2021,Arunachal Pradesh,7307,0,7307,
26/01/2021,Assam,19837,0,19837,
26/01/2021,Bihar,88450,0,88450,
26/01/2021,Chandigarh,1928,0,1928,
26/01/2021,Chhattisgarh,40025,0,40025,
26/01/2021,Dadra and Nagar Haveli and Daman and Diu,665,0,665,
26/01/2021,Delhi,33219,0,33219,
26/01/2021,Goa,1796,0,1796,
26/01/2021,Gujarat,91927,0,91927,
26/01/2021,Haryana,105419,0,105419,
26/01/2021,Himachal Pradesh,13544,0,13544,
26/01/2021,Jammu and Kashmir,16173,0,16173,
26/01/2021,Jharkhand,18413,0,18413,
26/01/2021,Karnataka,231607,0,231607,
26/01/2021,Kerala,71973,0,71973,
26/01/2021,Ladakh,670,0,670,
26/01/2021,Lakshadweep,676,0,676,
26/01/2021,Madhya Pradesh,67083,0,67083,
26/01/2021,Maharashtra,136901,0,136901,
26/01/2021,Manipur,2485,0,2485,
26/01/2021,Meghalaya,2748,0,2748,
26/01/2021,Mizoram,4852,0,4852,
26/01/2021,Nagaland,3675,0,3675,
26/01/2021,Odisha,177090,0,177090,
26/01/2021,Puducherry,1813,0,1813,
26/01/2021,Punjab,39418,0,39418,
26/01/2021,Rajasthan,161332,0,161332,
26/01/2021,Sikkim,1047,0,1047,
26/01/2021,Tamil Nadu,73953,0,73953,
26/01/2021,Telangana,130425,0,130425,
26/01/2021,Tripura,19698,0,19698,
26/01/2021,Uttar Pradesh,123761,0,123761,
26/01/2021,Uttarakhand,14546,0,14546,
26/01/2021,West Bengal,122851,0,122851,
26/01/2021,Miscellaneous,43675,0,43675,
26/01/2021,Total,2029480,0,2029480,
27/01/2021,Andaman and Nicobar Islands,2385,0,2385,
27/01/2021,Andhra Pradesh,163727,0,163727,
27/01/2021,Arunachal Pradesh,7307,0,7307,
27/01/2021,Assam,19945,0,19945,
27/01/2021,Bihar,89074,0,89074,
